Timestamp,A01a,A01b,A01c,A01d,A02a,A02b,A02c,A02d,A03a,A03b,A03c,A03d,A04a,A04b,A04c,A04d,A05a,A05b,A05c,A05d,A06a,A06b,A06c,A06d,A07a,A07b,A07c,A07d,A08a,A08b,A08c,A08d
2025-03-03 03:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:12:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:21:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:24:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:27:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:33:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:36:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:39:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:42:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:45:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:48:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:51:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:54:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 03:57:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:03:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:06:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:09:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:12:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:21:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:24:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:27:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:33:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:36:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:39:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:42:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:45:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:48:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:51:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:54:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 04:57:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:03:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:06:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:09:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:12:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:21:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:24:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:27:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:33:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:36:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:39:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:42:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:45:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:48:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:51:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:54:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 05:57:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:03:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:06:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:09:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:12:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:15:00,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:18:00,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:21:00,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:24:00,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:27:00,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:30:00,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:33:00,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:36:00,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:39:00,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:42:00,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:45:00,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:48:00,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:51:00,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:54:00,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 06:57:00,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:00:00,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:03:00,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:06:00,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:09:00,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:12:00,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:15:00,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:18:00,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:21:00,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:24:00,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:27:00,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:30:00,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:33:00,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:36:00,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:39:00,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03 07:42:00,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
